"collaborator_name","affiliation","country","paper_id","paper_title","year","citations","doi"
"Arcesio Castañeda Medina","Fraunhofer Institute for Industrial Mathematics (ITWM)","Germany","P002","Optimal number-conserved linear encoding for practical fermionic simulation","2025","","https://doi.org/10.1103/lzf5-x6hc"
"Tzen Ong","Academia Sinica","Taiwan","P004","A Gell-Mann & Low Theorem Perspective on Quantum Computing: New Paradigm for Designing Quantum Algorithm","2023","",""
"Tzen Ong","Academia Sinica","Taiwan","P005","Quantum Algorithm for Low Energy Effective Hamiltonian and Quasi-Degenerate Eigenvalue Problem","2025","",""
"Fang Ren","Insilico Medicine Shanghai Ltd.","China","P009","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"Mengzhen Ren","City University of Hong Kong","Hong Kong SAR, China","P006","A Neural-Guided Variational Quantum Algorithm for Efficient Sign Structure Learning in Hybrid Architectures","2025","",""
"Mengzhen Ren","City University of Hong Kong","Hong Kong SAR, China","P007","Hybrid Quantum-Classical Clustering for Preparing a Prior Distribution of Eigenspectrum","2026","","https://doi.org/10.1038/s41534-026-01194-2"
"Yu Shee","Yale University","United States","P008","Quantum Simulation of Preferred Tautomeric State Prediction","2023","","https://www.nature.com/articles/s41534-023-00767-9"
"Lucas Wang","University of Chicago","United States","P004","A Gell-Mann & Low Theorem Perspective on Quantum Computing: New Paradigm for Designing Quantum Algorithm","2023","",""
"Qian Wang","City University of Hong Kong","Hong Kong SAR, China","P002","Optimal number-conserved linear encoding for practical fermionic simulation","2025","","https://doi.org/10.1103/lzf5-x6hc"
"Ronin Wu","QunaSys Europe","Denmark","P001","Neural network assisted fermionic compression encoding: A lossy quantum-selected configuration interaction framework","2026","","https://doi.org/10.1103/9x8b-4j41"
"Ann Yang","","","P008","Quantum Simulation of Preferred Tautomeric State Prediction","2023","","https://www.nature.com/articles/s41534-023-00767-9"
"Ya-Chu Yang","Insilico Medicine Taiwan Ltd.","Taiwan","P009","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"Yangsen Ye","University of Science and Technology of China","China","P006","A Neural-Guided Variational Quantum Algorithm for Efficient Sign Structure Learning in Hybrid Architectures","2025","",""
"Tzu-Lan Yeh","Insilico Medicine Taiwan Ltd.","Taiwan","P008","Quantum Simulation of Preferred Tautomeric State Prediction","2023","","https://www.nature.com/articles/s41534-023-00767-9"
"Alex Zhavoronkov","Insilico Medicine Hong Kong Ltd.","Hong Kong SAR, China","P009","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
